,LOCATION,Country,POLLUTANT,Pollutant,MEASURE,Measure,FLIGHT,Flight type,FREQUENCY,Frequency,SOURCE,Source of emissions,SEASONALITY,Seasonality,TIME,Time,Value,Flag Codes,Flags,Month,Year
98115,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_DOM_IN,"""(A) - Domestic flight in country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,727179.0,,,06,2022
98157,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_DOM_OUT,"""(B) - Domestic flight outside of country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,34988.6,,,06,2022
98199,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,NRES_DOM_IN,"""(C) - Domestic flight in country A, operated by an airline that is non-resident in country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,25319.6,,,06,2022
98241,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_INT_FROM,"""(D) - International flight departing from country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,121360.0,,,06,2022
98283,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_INT_TO,"""(E) - International flight arriving in country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,165051.0,,,06,2022
98325,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_INT_OUT,"""(F) - International flight outside of country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,20339.0,,,06,2022
98367,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,NRES_INT_FROM,"""(G) - International flight departing from country A, operated by an airline that is non-resident in country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,460443.0,,,06,2022
98409,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_TOTAL,Air transport - Industry H51 (ISIC rev.4): (A)+(B)+(D)+(E)+(F),NSA,Non seasonally adjusted,2022-06,Jun-2022,1068920.0,,,06,2022
98451,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_ABROAD,Bridging item - Residents abroad: (B)+(D)+(E)+(F),NSA,Non seasonally adjusted,2022-06,Jun-2022,341739.0,,,06,2022
98493,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,NRES_TERR,Bridging item - Non-residents on territory: (C),NSA,Non seasonally adjusted,2022-06,Jun-2022,25319.6,,,06,2022
98535,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,TER_DOM,Domestic aviation: (A)+(C) ,NSA,Non seasonally adjusted,2022-06,Jun-2022,752499.0,,,06,2022
98577,AUS,Australia,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,TER_INT,International aviation (memo item): (D)+(G),NSA,Non seasonally adjusted,2022-06,Jun-2022,583139.0,,,06,2022
98619,AUT,Austria,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_DOM_IN,"""(A) - Domestic flight in country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,5152.99,,,06,2022
98661,AUT,Austria,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_DOM_OUT,"""(B) - Domestic flight outside of country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,42700.1,,,06,2022
98703,AUT,Austria,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,NRES_DOM_IN,"""(C) - Domestic flight in country A, operated by an airline that is non-resident in country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,623.737,,,06,2022
98745,AUT,Austria,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_INT_FROM,"""(D) - International flight departing from country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,68003.1,,,06,2022
98787,AUT,Austria,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_INT_TO,"""(E) - International flight arriving in country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,50086.6,,,06,2022
98829,AUT,Austria,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_INT_OUT,"""(F) - International flight outside of country A, operated by a resident airline of country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,166590.0,,,06,2022
98871,AUT,Austria,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,NRES_INT_FROM,"""(G) - International flight departing from country A, operated by an airline that is non-resident in country A""",NSA,Non seasonally adjusted,2022-06,Jun-2022,101785.0,,,06,2022
98913,AUT,Austria,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_TOTAL,Air transport - Industry H51 (ISIC rev.4): (A)+(B)+(D)+(E)+(F),NSA,Non seasonally adjusted,2022-06,Jun-2022,332533.0,,,06,2022
98955,AUT,Austria,CO2,Carbon dioxide,TCO2,tonnes of CO2-equivalent,TOTAL,All flights,M,Monthly,RES_ABROAD,Bridging item - Residents abroad: (B)+(D)+(E)+(F),NSA,Non seasonally adjusted,2022-06,Jun-2022,327380.0,,,06,2022
